firme,stock,book_to_market,price_to_sales,price_to_cash_flow,price_to_book,dividend_yield,g,payout_ratio
Accor SA (ACCP),ACCP,18.04,2.12,-,1.37,-,-,-
Air Liquide SA (AIRP),AIRP,38.82,3.14,73.15,3.63,1.91%,7.91%,51.48%
ArcelorMittal S.A. (MT),MT,29.92,0.25,6.83,0.37,-,-,-
Atos SE (ATOS),ATOS,65.55,0.69,8.94,1.1,-,-4.35%,27.11%
AXA SA (AXAF),AXAF,29.4,0.37,9.88,0.58,4.26%,-14.31%,124.8%
BNP Paribas SA (BNPP),BNPP,89.34,-,-,0.4,-,-,0%
Bouygues SA (BOUY),BOUY,26.45,0.34,13.49,1.19,5.39%,2.04%,47.69%
Capgemini SE (CAPP),CAPP,35.01,1.38,15.68,3.41,1.13%,-4.5%,36.07%
Carrefour SA (CARR),CARR,11.49,0.16,8.15,1.23,1.63%,-31%,43.38%
Crédit Agricole SA (CAGR),CAGR,22.16,-,4.14,0.38,-,-,0%
Danone SA (DANO),DANO,25.17,1.61,32.25,2.31,3.61%,7.3%,71.91%
Dassault Systemes SE (DAST),DAST,20.37,9.83,46.01,7.86,0.44%,9.72%,35.21%
Airbus Group SE (AIR),AIR,1.69,0.95,417.32,41.96,-,-,-
EssilorLuxottica SA (ESLX),ESLX,77.34,3.29,32.36,1.44,-,14.13%,-
Orange SA (ORAN),ORAN,12.08,0.6,-,0.8,5.19%,-5.9%,50.65%
Engie SA (ENGIE),ENGIE,12.76,0.53,-,0.94,-,-,-
Hermès International SCA (HRMS),HRMS,60.61,13.16,71.33,12.52,0.6%,6.66%,42.75%
Kering SA (PRTP),PRTP,79.21,5.56,228.15,7.57,1.33%,20.26%,7.22%
L'Oréal SA (OREP),OREP,51.82,5.59,55.91,5.42,1.37%,5.27%,73.7%
LVMH Moet Hennessy Louis Vuitton SE (LVMH),LVMH,71.11,4.58,46.95,5.99,1.13%,6.27%,29.59%
Legrand SA (LEGD),LEGD,18.19,3,26.11,3.85,1.92%,4.04%,50.73%
Compagnie Générale des Etablissements Michelin SCA (MICP),MICP,68.59,0.78,19.84,1.38,2.11%,-14.94%,88.33%
Pernod Ricard SA (PERP),PERP,53.15,-,-,2.65,2.21%,-,-
Peugeot SA (PEUP),PEUP,21.83,0.24,5.05,0.75,-,-,0%
Publicis Groupe (PUBP),PUBP,29.49,0.63,3.93,1.01,3.86%,-14.66%,43.82%
Renault SA (RENA),RENA,88.99,0.15,-,0.27,-,-,-
Safran SA (SAF),SAF,28.48,1.8,29.31,3.42,-,-,150.64%
Compagnie de Saint-Gobain SA (SGOB),SGOB,33.3,0.51,15.8,1.1,-,3.08%,264.34%
Sanofi SA (SASY),SASY,50.5,2.95,53.06,1.75,3.57%,2.1%,35.46%
Schneider Electric SE (SCHN),SCHN,37.99,2.38,29.18,2.82,2.38%,7.72%,63.81%
Societe Generale SA (SOGN),SOGN,71.82,-,4.79,0.18,-,-,-
Sodexo SA (EXHO),EXHO,28.14,0.43,21.07,2.36,4.36%,6.51%,63.33%
STMicroelectronics NV (STM),STM,6.87,3.01,64.59,3.91,0.61%,-11.21%,12.84%
Thales (TCFP),TCFP,22.77,0.81,18.04,2.99,0.88%,-27.89%,0%
Total SA (TOTF),TOTF,33.12,0.69,16.23,0.97,8.33%,5.26%,-
WFD Unibail Rodamco NV (URW),URW,169.91,1.81,14.09,0.24,13.5%,-19.1%,-
Veolia (VIE),VIE,9.54,0.41,14.28,1.98,2.65%,-14.5%,212.65%
Vinci SA (SGEF),SGEF,33.71,1.04,14.4,2.3,1.62%,-0.96%,43.15%
Vivendi SA (VIV),VIV,14.64,1.8,132.84,1.68,2.44%,14.47%,4.12%
Worldline SA (WLN),WLN,17.92,6.05,46.59,4.27,-,-,0%
