,firme,stock,book_to_market,price_to_sales,price_to_cash_flow,price_to_book,dividend_yield,g,payout_ratio,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
0,Alstom SA (ALSO),ALSO,14.48,1.26,-,3.14,-,-,0%,45.47,10.26B,22.94,0.63,1.98,,225.973.782,Sociétés ferroviaires,37575,8.2B,cac next 20
1,Arkema SA (AKE),AKE,72.59,0.9,16.47,1.33,2.28%,2.38%,47.26%,97.84,7.36B,18.34,1.38,5.25,2.20,76.358.572,Fabrication de produits chimiques,20500,8.26B,cac next 20
2,Bureau Veritas SA (BVI),BVI,2.5,1.87,15.19,7.99,-,0.6%,155.61%,20.24,8.98B,55.5,1.01,0.36,0.56,448.923.687,Services aux entreprises,78395,7.3B,cac next 20
3,Edenred SA (EDEN),EDEN,-5.28,6.7,36.99,-,1.67%,4.13%,100%,42.43,10.32B,38.25,0.74,1.1,0.7,245.817.083,Publicité,8861,2.32B,cac next 20
4,Electricité de France SA (EDF),EDF,14.48,0.39,-,0.6,1.73%,-17.78%,62.89%,8.79,26.85B,16.19,0.78,0.54,0.33,3.098.738.148,Fournisseurs d'électricité,161522,106.03B,cac next 20
5,Eiffage SA (FOUG),FOUG,51.87,0.44,10.6,1.45,-,-,64.26%,75.46,7.33B,17.28,1.13,4.34,2.80,97.781.980,Services de construction,72213,25.83B,cac next 20
6,Eurofins Scientific SE (EUFI),EUFI,180.59,2.69,62.95,3.7,0.43%,19.93%,17.82%,661.4,12.7B,36.38,0.79,18.39,3.45,18.984.199,Biotechnologie et médicaments,43476,6.89B,cac next 20
7,Faurecia (EPED),EPED,26.05,0.33,20.32,1.39,-,13.04%,-,37.63,4.96B,382.48,2.03, - 1.38,1.3,136.904.807,Pièces automobiles et de camions,104672,23.94B,cac next 20
8,TechnipFMC PLC (FTI),FTI,9.22,0.21,17.66,0.69,8.2%,-,-,6.34,2.72B,15.76,2.17, - 12.93,0.48,449.408.233,Oil Well Services & Equipment,37000,13.35B,cac next 20
9,Gecina SA (GFCP),GFCP,172.11,12.47,-,0.64,4.78%,1.45%,40.85%,113.6,8.14B,7.79,0.82,14.23,5.30,73.504.700,Opérations immobilières,504,1.01B,cac next 20
10,Getlink SE (GETP),GETP,2.56,7.1,41.63,4.7,-,16.4%,747.7%,12.23,6.47B,314.59,0.92,0.04,0.41,537.893.064,Sociétés ferroviaires,3539,1.45B,cac next 20
11,Ingenico Group SA (INGC),INGC,36.47,2.91,34.84,3.95,-,-,0%,142.0,8.99B,44.5,0.93,3.24,1.20,62.418.073,Matériel informatique,8669,4.77B,cac next 20
12,Klepierre SA (LOIM),LOIM,30.85,2.35,22.02,0.37,19.27%,6.52%,-,12.62,3.26B,18.2,1.07, - 0.04,2.20,285.225.082,Opérations immobilières,1062,2.22B,cac next 20
13,Orpea SA (ORP),ORP,46.68,1.73,600.01,2.15,-,-,33.14%,101.4,6.47B,28.67,0.62,3.5,,64.570.695,Etablissements de santé,65020,3.74B,cac next 20
14,SCOR (SCOR),SCOR,34.19,0.26,11.36,0.68,-,-,0%,24.12,4.36B,27.17,1.2,0.86,1.80,186.284.798,Assurance (biens et multirisques),3028,25.54B,cac next 20
15,Sodexo SA (EXHO),EXHO,28.14,0.41,20.11,2.25,4.57%,6.51%,63.33%,66.64,9.24B,13.83,0.97,4.58,2.9,145.633.621,Restauration,470000,22.6B,cac next 20
16,Solvay SA (SOLB),SOLB,72.82,0.81,16.01,1.1,3.26%,2.82%,-,80.84,8.32B,19.63,1.32, - 19.1,1.57,103.410.650,Produits chimiques - plastiques et caoutchouc,24100,10.51B,cac next 20
17,Suez SA (SEVI),SEVI,8.77,0.53,15.75,1.67,3.07%,-11.54%,-,15.04,9.16B,25.66,0.88, - 0.71,0.45,625.149.144,Services de gestion des déchets,82536,26.18B,cac next 20
18,Ubisoft Entertainment SA (UBIP),UBIP,10.87,5.56,17.9,6.68,-,-,-,72.34,8.79B,30.79,0.97, - 1.08,,120.910.645,Logiciels et programmation,18045,1.59B,cac next 20
19,Valeo SA (VLOF),VLOF,13.66,0.39,32.17,1.96,0.75%,-45.71%,-,27.83,6.42B,20.15,1.97, - 4.45,0.20,239.452.552,Biens d'équipement (divers),114700,26.54B,cac next 20
