firme,return_on_equity
Alstom SA (ALSO),12.12%
Arkema SA (AKE),7.58%
Bureau Veritas SA (BVI),15.06%
Edenred SA (EDEN),-
Electricité de France SA (EDF),3.61%
Eiffage SA (FOUG),8.66%
Eurofins Scientific SE (EUFI),11.35%
Faurecia (EPED),-5.11%
TechnipFMC PLC (FTI),-79.82%
Gecina SA (GFCP),8.5%
Getlink SE (GETP),2.01%
Ingenico Group SA (INGC),9.84%
Klepierre SA (LOIM),-0.08%
Orpea SA (ORP),7.82%
SCOR (SCOR),2.61%
Sodexo SA (EXHO),16.77%
Solvay SA (SOLB),-22.53%
Suez SA (SEVI),-7.66%
Ubisoft Entertainment SA (UBIP),-11.24%
Valeo SA (VLOF),-27.47%
