,firme,stock,book_to_market,price_to_sales,price_to_cash_flow,price_to_book,dividend_yield,g,payout_ratio,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
0,Aeroports de Paris SA (ADP),ADP,44.06,2.31,-,1.95,0.82%,-35.76%,-,89.5,8.49B,20.55,1.14, - 2.33,0.70,98.944.352,Transports (divers),26122,5.87B,cac mid 60
1,Air France - KLM SA (AIRF),AIRF,-5.99,0.08,3,-,-,-,-,3.73,1.56B,4.29,0.99, - 9.17,,427.432.464,Compagnies aériennes,83896,20.35B,cac mid 60
2,Akka Technologies (AKA),AKA,21.87,0.24,3.21,0.75,3.86%,-,19.2%,16.56,360.25M,5.04,2.06,3.27,0.64,21.833.313,Logiciels et programmation,20930,1.51B,cac mid 60
3,Albioma SA (ABIO),ABIO,13.24,2.79,134.25,3.44,1.54%,7.09%,43.03%,43.8,1.41B,29.13,0.63,1.56,0.70,30.893.808,Fournisseurs d'électricité,579,756.39M,cac mid 60
4,ALD SA (ALDA),ALDA,9.63,0.37,-,0.93,7.03%,-,53.01%,9.32,3.61B,7.54,,1.19,0.63,403.000.753,Location et leasing,6708,14.49B,cac mid 60
5,Alten SA (LTEN),LTEN,33.05,0.95,14.38,2.22,-,-,0%,74.7,2.47B,15.12,1.33,4.84,,33.696.147,Services informatiques,37200,2.62B,cac mid 60
6,Amundi SA (AMUN),AMUN,46.03,2.71,13.35,1.34,-,12.11%,69.72%,62.3,12.43B,13.96,1.41,4.43,3.10,200.939.323,Services d'investissement,4506,5.88B,cac mid 60
7,Aperam SA (APAM),APAM,26.32,0.55,19.56,0.95,7%,8.87%,51.18%,25.38,2B,17.26,1.81,1.45,1.75,79.815.839,Fer et acier,9500,6.11B,cac mid 60
8,Biomerieux SA (BIOX),BIOX,19.97,5.27,161,6.41,0.15%,-17.09%,14.74%,123.6,15.15B,49.7, - 0.09,2.58,0.19,118.345.697,Biotechnologie et médicaments,11795,4.15B,cac mid 60
9,Bolloré SA (BOLL),BOLL,2.88,0.38,8.37,1.1,1.89%,0%,44.75%,3.26,9.32B,35.48,0.75,0.09,0.06,2.930.886.036,Services aux entreprises,83801,36.46B,cac mid 60
10,Casino Guichard Perrachon SA (CASP),CASP,34.77,0.07,-,0.62,14.36%,-,-,22.5,2.34B,17.94,0.65, - 3.96,3.12,107.750.694,Détaillants (épicerie),209696,50.7B,cac mid 60
11,CGG SA (GEPH),GEPH,1.55,0.47,1.14,0.44,-,-,-,0.716,488.82M,9.48,2.74, - 0.1,,711.323.839,Puits de pétrole - services et équipement,4564,27.31M,cac mid 60
12,CNP Assurances SA (CNPP),CNPP,27.55,0.21,0.91,0.39,-,-,49.18%,11.29,7.45B,5.68,1.28,1.91,0.94,685.913.525,Assurance (biens et multirisques),5353,60.24B,cac mid 60
13,Coface (COFA),COFA,12.72,0.95,9.14,0.54,-,97.4%,163.88%,6.74,1.03B,11.24,0.85,0.61,1.0,150.697.558,Assurance (vie),3248,1.83B,cac mid 60
14,Dassault Aviation SA (AVMD),AVMD,514.41,0.93,-,1.51,-,28.04%,43.18%,799.0,6.44B,13.12,1.05,59.05,25.4,8.315.282,Aérospatiale et défense,12757,10.02B,cac mid 60
15,DBV Technologies SA (DBV),DBV,4.09,13.38,-,0.81,-,-,-,3.42,182.29M,24.78,1.36, - 3.41,,54.874.086,Biotechnologie et médicaments,311,20.7M,cac mid 60
16,Elior Group (ELIOR),ELIOR,9.42,0.16,0.55,0.45,6.77%,-11.61%,129.38%,4.36,727.67M,18.88,1.24,0.23,0.29,169.856.718,Restauration,110162,4.78B,cac mid 60
17,Elis Services SA (ELIS),ELIS,12.4,0.8,9.56,0.89,-,-,144.07%,11.09,2.43B,46.78,1.38,0.23,,221.179.748,Services aux entreprises,49868,4.63B,cac mid 60
18,Eramet SA (ERMT),ERMT,28.61,0.2,-,0.92,-,-,-,26.8,695.09M,16.5,1.24, - 29.08,,26.459.441,Exploitation des métaux,12600,5.36B,cac mid 60
19,Eurazeo (EURA),EURA,60,0.86,33.33,0.75,-,-,-,47.36,3.14B,6.94,1.09, - 6.31,1.5,75.807.044,Misc. Financial Services,29124,6.48B,cac mid 60
20,Euronext (ENX),ENX,12.99,8.79,59.44,7.87,1.55%,3.84%,38.17%,98.1,7.14B,24.6,0.64,4.16,1.59,69.767.375,Services d'investissement,1236,1.23B,cac mid 60
21,Eutelsat Communications SA (ETL),ETL,-,1.6,8.42,-,10.13%,-9.73%,0%,9.12,2.02B,6.85,0.79,1.28,0.89,230.150.705,Services de communication,1001,2.58B,cac mid 60
22,Covivio SA (CVO),CVO,89.24,5.08,172.72,0.67,8.01%,2.94%,65.17%,61.9,5.64B,9.06,1.17,6.61,4.8,94.205.224,Opérations immobilières,995,1.73B,cac mid 60
23,Genfit SA (GNFT),GNFT,2.16,3.66,-,1.78,-,-,-,4.01,149.84M,24.78,0.94, - 1.97,,38.858.617,Biotechnologie et médicaments,175,40.96M,cac mid 60
24,Groupe FNAC (FNAC),FNAC,47.63,0.15,1.98,0.82,-,-,0%,37.82,1.04B,14.81,1.43,2.64,1.50,26.502.673,Détaillants (spécialisés),21693,10.01B,cac mid 60
25,GTT (GTT),GTT,6.8,8.52,-,12.48,5.01%,6.91%,77.89%,84.55,3.15B,15.63,0.77,5.43,4.25,37.069.230,Puits de pétrole - services et équipement,381,492M,cac mid 60
26,Icade (ICAD),ICAD,38.67,2.44,-,1.24,8.35%,0.08%,45.71%,51.4,3.55B,13.72,0.74,3.5,4.01,73.932.200,Opérations immobilières,1127,2.14B,cac mid 60
27,Iliad (ILD),ILD,94.59,1.82,-,1.79,1.54%,80.79%,8.26%,168.55,9.87B,5.26,0.17,32.15,2.60,58.390.539,Services de communication,11083,8.12B,cac mid 60
28,Imerys SA (IMTP),IMTP,35.6,0.71,93.68,0.94,5.13%,-2.75%,208.7%,34.38,2.83B,32.82,1.5,1.02,1.72,84.474.296,Construction - matières premières,15023,6.25B,cac mid 60
29,Ipsen SA (IPN),IPN,22.35,2.88,29.49,4.15,1.08%,5.57%,-,94.1,7.72B,24.78,1, - 0.6,1.00,83.095.833,Biotechnologie et médicaments,5807,4B,cac mid 60
30,Ipsos (ISOS),ISOS,23.6,0.51,10.07,0.92,2.07%,-19.1%,44.66%,21.65,956.14M,11.29,1.07,1.93,0.45,43.960.255,Services aux entreprises,18417,2.79B,cac mid 60
