firme,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
Aeroports de Paris SA (ADP),89.5,8.49B,N/A,1.14, - 2.33,0.70,98.944.352,Transports (divers),26122,5.87B
Air France - KLM SA (AIRF),3.73,1.56B,N/A,0.99, - 9.17,N/A,427.432.464,Compagnies aériennes,83896,20.35B
Akka Technologies (AKA),16.56,360.25M,5.04,2.06,3.27,0.64,21.833.313,Logiciels et programmation,20930,1.51B
Albioma SA (ABIO),43.8,1.41B,29.13,0.63,1.56,0.70,30.893.808,Fournisseurs d'électricité,579,756.39M
ALD SA (ALDA),9.32,3.61B,7.54,N/A,1.19,0.63,403.000.753,Location et leasing,6708,14.49B
Alten SA (LTEN),74.7,2.47B,15.12,1.33,4.84,N/A,33.696.147,Services informatiques,37200,2.62B
Amundi SA (AMUN),62.3,12.43B,13.96,1.41,4.43,3.10,200.939.323,Services d'investissement,4506,5.88B
Aperam SA (APAM),25.38,2B,17.26,1.81,1.45,1.75,79.815.839,Fer et acier,9500,6.11B
Biomerieux SA (BIOX),123.6,15.15B,49.7, - 0.09,2.58,0.19,118.345.697,Biotechnologie et médicaments,11795,4.15B
Bolloré SA (BOLL),3.26,9.32B,35.48,0.75,0.09,0.06,2.930.886.036,Services aux entreprises,83801,36.46B
Casino Guichard Perrachon SA (CASP),22.5,2.34B,N/A,0.65, - 3.96,3.12,107.750.694,Détaillants (épicerie),209696,50.7B
CGG SA (GEPH),0.716,488.82M,N/A,2.74, - 0.1,N/A,711.323.839,Puits de pétrole - services et équipement,4564,27.31M
CNP Assurances SA (CNPP),11.29,7.45B,5.68,1.28,1.91,0.94,685.913.525,Assurance (biens et multirisques),5353,60.24B
Coface (COFA),6.74,1.03B,11.24,0.85,0.61,1,150.697.558,Assurance (vie),3248,1.83B
Dassault Aviation SA (AVMD),799,6.44B,13.12,1.05,59.05,25.4,8.315.282,Aérospatiale et défense,12757,10.02B
DBV Technologies SA (DBV),3.42,182.29M,N/A,1.36, - 3.41,N/A,54.874.086,Biotechnologie et médicaments,311,20.7M
Elior Group (ELIOR),4.36,727.67M,18.88,1.24,0.23,0.29,169.856.718,Restauration,110162,4.78B
Elis Services SA (ELIS),11.09,2.43B,46.78,1.38,0.23,N/A,221.179.748,Services aux entreprises,49868,4.63B
Eramet SA (ERMT),26.8,695.09M,N/A,1.24, - 29.08,N/A,26.459.441,Exploitation des métaux,12600,5.36B
