firme,stock,book_to_market,price_to_sales,price_to_cash_flow,price_to_book,dividend_yield,g,payout_ratio
Aeroports de Paris SA (ADP),ADP,44.06,2.31,-,1.95,0.82%,-35.76%,-
Air France - KLM SA (AIRF),AIRF,-5.99,0.08,3,-,-,-,-
Akka Technologies (AKA),AKA,21.87,0.24,3.21,0.75,3.86%,-,19.2%
Albioma SA (ABIO),ABIO,13.24,2.79,134.25,3.44,1.54%,7.09%,43.03%
ALD SA (ALDA),ALDA,9.63,0.37,-,0.93,7.03%,-,53.01%
Alten SA (LTEN),LTEN,33.05,0.95,14.38,2.22,-,-,0%
Amundi SA (AMUN),AMUN,46.03,2.71,13.35,1.34,-,12.11%,69.72%
Aperam SA (APAM),APAM,26.32,0.55,19.56,0.95,7%,8.87%,51.18%
Biomerieux SA (BIOX),BIOX,19.97,5.27,161,6.41,0.15%,-17.09%,14.74%
Bolloré SA (BOLL),BOLL,2.88,0.38,8.37,1.1,1.89%,0%,44.75%
Casino Guichard Perrachon SA (CASP),CASP,34.77,0.07,-,0.62,14.36%,-,-
CGG SA (GEPH),GEPH,1.55,0.47,1.14,0.44,-,-,-
CNP Assurances SA (CNPP),CNPP,27.55,0.21,0.91,0.39,-,-,49.18%
Coface (COFA),COFA,12.72,0.95,9.14,0.54,-,97.4%,163.88%
Dassault Aviation SA (AVMD),AVMD,514.41,0.93,-,1.51,-,28.04%,43.18%
DBV Technologies SA (DBV),DBV,4.09,13.38,-,0.81,-,-,-
Elior Group (ELIOR),ELIOR,9.42,0.16,0.55,0.45,6.77%,-11.61%,129.38%
Elis Services SA (ELIS),ELIS,12.4,0.8,9.56,0.89,-,-,144.07%
Eramet SA (ERMT),ERMT,28.61,0.2,-,0.92,-,-,-
Eurazeo (EURA),EURA,60,0.86,33.33,0.75,-,-,-
Euronext (ENX),ENX,12.99,8.79,59.44,7.87,1.55%,3.84%,38.17%
Eutelsat Communications SA (ETL),ETL,-,1.6,8.42,-,10.13%,-9.73%,0%
Covivio SA (CVO),CVO,89.24,5.08,172.72,0.67,8.01%,2.94%,65.17%
Genfit SA (GNFT),GNFT,2.16,3.66,-,1.78,-,-,-
Groupe FNAC (FNAC),FNAC,47.63,0.15,1.98,0.82,-,-,0%
GTT (GTT),GTT,6.8,8.52,-,12.48,5.01%,6.91%,77.89%
Icade (ICAD),ICAD,38.67,2.44,-,1.24,8.35%,0.08%,45.71%
Iliad (ILD),ILD,94.59,1.82,-,1.79,1.54%,80.79%,8.26%
Imerys SA (IMTP),IMTP,35.6,0.71,93.68,0.94,5.13%,-2.75%,208.7%
Ipsen SA (IPN),IPN,22.35,2.88,29.49,4.15,1.08%,5.57%,-
Ipsos (ISOS),ISOS,23.6,0.51,10.07,0.92,2.07%,-19.1%,44.66%
JC Decaux SA (JCDX),JCDX,8.87,1.22,3.46,1.81,-,1.18%,-
Korian Medica SA (KORI),KORI,31.36,0.64,5.86,0.9,-,-,0%
La Francaise Des Jeux Sa (FDJ),FDJ,2.8,3.29,315.25,11.42,1.41%,-,237.99%
Lagardere SCA (LAGA),LAGA,7.51,0.35,3.33,2.03,-,-8.37%,-
Metropole Television SA (MMTP),MMTP,7.49,1.07,29.65,1.47,-,5.57%,51.04%
Maisons du Monde SAS (MDM),MDM,13.5,0.49,3.34,0.95,-,-,0%
Mercialys SA (MERY),MERY,6.97,2.36,8.1,0.69,19.64%,-3.59%,123.7%
Natixis (CNAT),CNAT,6.06,-,-,0.36,-,-,0%
Neoen SA (NEOEN),NEOEN,7.79,14.43,-,5.5,-,-,0%
Nexans SA (NEXS),NEXS,24.53,0.32,61.31,1.89,-,-,-
Nexity (NEXI),NEXI,29.87,0.4,11.51,0.97,6.91%,-5.9%,121.94%
Compagnie Plastic Omnium SA (PLOF),PLOF,11.9,0.45,44.43,1.82,2.26%,0%,-
Rémy Cointreau (RCOP),RCOP,28.13,7.32,-,5.31,0.67%,-15.37%,46.96%
Rexel (RXL),RXL,12.21,0.26,11.53,0.9,-,-,-
Robertet (ROBF),ROBF,197.61,4.23,68.44,5.18,0.49%,2.82%,21.78%
Rubis SCA (RUBF),RUBF,23.58,0.82,46.88,1.52,4.87%,9.31%,111.89%
SEB SA (SEBF),SEBF,45.43,1.02,25.29,3.08,1.02%,-5.97%,25.4%
SES SA (SESFd),SESFd,13.28,1.42,6.01,0.46,5.6%,-36.69%,78.28%
Société BIC SA (BICP),BICP,30.84,1.21,36.73,1.52,5.23%,-10.78%,101.51%
Soitec SA (SOIT),SOIT,16.63,7.26,279.81,7.87,-,-,0%
Sopra Steria Group SA (SOPR),SOPR,68.85,0.65,8.54,2.02,-,-,0%
Spie SA (SPIE),SPIE,9.05,0.36,8.98,1.71,1.1%,-31.55%,0%
Sartorius Stedim Biotech SA (STDM),STDM,13.66,17.27,227.24,21.95,0.11%,-6.8%,24.47%
Tarkett (TKTT),TKTT,11.5,0.22,2.46,0.82,-,-,-
Télévision Française 1 SA (TFFP),TFFP,7.56,0.58,20.38,0.76,-,-,122.38%
Trigano SA (TRIA),TRIA,47.92,0.92,36.23,2.35,1.78%,25.99%,24.02%
Vallourec SA (VLLP),VLLP,49.05,0.06,-,0.41,-,-,-
Virbac SA (VIRB),VIRB,64.97,1.74,15.25,3.01,-,-,0%
Wendel (MWDP),MWDP,49.98,0.46,4.78,1.61,3.48%,6.01%,-
