firme,return_on_equity
Aeroports de Paris SA (ADP),-5.08%
Air France - KLM SA (AIRF),-
Akka Technologies (AKA),19.85%
Albioma SA (ABIO),12.61%
ALD SA (ALDA),12.69%
Alten SA (LTEN),15.78%
Amundi SA (AMUN),10.15%
Aperam SA (APAM),5.17%
Biomerieux SA (BIOX),13.78%
Bolloré SA (BOLL),2.95%
Casino Guichard Perrachon SA (CASP),-8.77%
CGG SA (GEPH),-5.82%
CNP Assurances SA (CNPP),6.93%
Coface (COFA),4.94%
Dassault Aviation SA (AVMD),11.75%
DBV Technologies SA (DBV),-94.15%
Elior Group (ELIOR),2.61%
Elis Services SA (ELIS),2.02%
Eramet SA (ERMT),-66.84%
Eurazeo (EURA),-9.38%
Euronext (ENX),33.83%
Eutelsat Communications SA (ETL),-
Covivio SA (CVO),7.19%
Genfit SA (GNFT),-124.08%
Groupe FNAC (FNAC),6.23%
GTT (GTT),95.68%
Icade (ICAD),9.08%
Iliad (ILD),41.09%
Imerys SA (IMTP),2.67%
Ipsen SA (IPN),-2.55%
Ipsos (ISOS),8.56%
JC Decaux SA (JCDX),-4.3%
Korian Medica SA (KORI),2.93%
La Francaise Des Jeux Sa (FDJ),16.33%
Lagardere SCA (LAGA),-26.06%
Metropole Television SA (MMTP),30.54%
Maisons du Monde SAS (MDM),5.83%
Mercialys SA (MERY),13.32%
Natixis (CNAT),2.72%
Neoen SA (NEOEN),3.09%
Nexans SA (NEXS),-5.37%
Nexity (NEXI),6.97%
Compagnie Plastic Omnium SA (PLOF),-15.54%
Rémy Cointreau (RCOP),7.55%
Rexel (RXL),-10.17%
Robertet (ROBF),12.25%
Rubis SCA (RUBF),6.64%
SEB SA (SEBF),12.91%
SES SA (SESFd),2.74%
Société BIC SA (BICP),7.45%
Soitec SA (SOIT),23.27%
Sopra Steria Group SA (SOPR),10.76%
Spie SA (SPIE),4.86%
Sartorius Stedim Biotech SA (STDM),21.73%
Tarkett (TKTT),-4.34%
Télévision Française 1 SA (TFFP),5.43%
Trigano SA (TRIA),18.6%
Vallourec SA (VLLP),-66.29%
Virbac SA (VIRB),13.94%
Wendel (MWDP),-13.92%
