Stock,Tick,BVPS,RevPS,EPS,TBVPS,CFPS,CR,ROE,ROA,DtoE,gDiv,g5EPS
Accor SA (ACCP),ACCP,18.04,11.3,1.49,1.31,-4.16,1.27,-27.2%,-12.08%,76.31%,-,8.76%
Aeroports de Paris SA (ADP),ADP,44.06,37.22,5.39,13.53,5.3,1.52,-5.08%,-2.22%,212.57%,-35.76%,5.8%
Air France - KLM SA (AIRF),AIRF,-5.99,44.76,0.64,-9.49,-2.03,0.54,-,-12.94%,-,-,-
Air Liquide SA (AIRP),AIRP,38.82,44.8,4.76,6.1,9.52,0.68,12.62%,5.39%,86.65%,7.91%,4.26%
Akka Technologies (AKA),AKA,21.87,67.57,3.33,3.9,5.82,1.64,19.85%,5.12%,145.65%,-,23.66%
Albioma SA (ABIO),ABIO,13.24,16.04,1.44,9.49,5.04,0.76,12.61%,3.59%,232.82%,7.09%,1.72%
ALD SA (ALDA),ALDA,9.63,24.11,1.4,8.09,10.82,0.38,12.69%,1.96%,464.89%,-,8.28%
Alstom SA (ALSO),ALSO,14.48,36.41,1.99,5.46,2.86,0.85,12.12%,2.66%,50.08%,-,-
Alten SA (LTEN),LTEN,33.05,77.36,4.9,16.9,6.42,-,15.78%,8.48%,27.35%,-,14.97%
Amundi SA (AMUN),AMUN,46.03,22.88,4.75,13.19,-,-,10.15%,3.5%,144.22%,12.11%,10.76%
Aperam SA (APAM),APAM,26.32,48.1,1.82,20.87,3.33,0.59,5.17%,2.91%,18.37%,8.87%,15.62%
ArcelorMittal S.A. (MT),MT,29.92,47.23,-2.05,25.78,-0.14,0.57,-10.54%,-4.7%,37.87%,-,-
Arkema SA (AKE),AKE,72.59,107.86,6.45,28.52,13.52,2.06,7.58%,4.03%,45.72%,2.38%,20.58%
Atos SE (ATOS),ATOS,65.55,105.66,3.84,-5.12,12.43,1.29,8.05%,2.8%,74.91%,-4.35%,7.78%
AXA SA (AXAF),AXAF,29.4,46.75,1.52,20.11,1.81,-,4.05%,0.4%,31.65%,-14.31%,-4.77%
Biomerieux SA (BIOX),BIOX,19.97,24.26,2.31,10.32,4.32,1.04,13.78%,7.79%,33.06%,-17.09%,15.07%
BNP Paribas SA (BNPP),BNPP,89.34,-,6.21,80.15,-,-,6.42%,0.31%,147.6%,-,-
Bolloré SA (BOLL),BOLL,2.88,8.41,0.08,-6.41,1.15,0.74,2.95%,2.85%,132.52%,0%,-1.24%
Bouygues SA (BOUY),BOUY,26.45,92.5,3.18,3.62,6.38,0.9,7.43%,1.06%,101.37%,2.04%,5.8%
Bureau Veritas SA (BVI),BVI,2.5,10.73,0.83,-3.04,1.23,-,15.06%,2.6%,367.82%,0.6%,4.57%
Capgemini SE (CAPP),CAPP,35.01,85.48,5.15,-30.77,7.77,-,11.64%,3.96%,160.03%,-4.5%,7.79%
Carrefour SA (CARR),CARR,11.49,91.61,0.04,-0.02,3.71,0.52,4.82%,1.31%,183.78%,-31%,-52.51%
Casino Guichard Perrachon SA (CASP),CASP,34.77,310.7,-3.86,-46.83,9.64,0.62,-8.77%,-1.07%,242.31%,-,-
CGG SA (GEPH),GEPH,1.55,1.48,0.14,-0.61,0.54,1.63,-5.82%,-2.12%,101.68%,-,-
CNP Assurances SA (CNPP),CNPP,27.55,51.09,1.98,26.66,2.57,-,6.93%,0.38%,101.85%,-,5.95%
Coface (COFA),COFA,12.72,7.25,0.97,11.23,0.86,-,4.94%,1.25%,52.36%,97.4%,4.04%
