stock,price_to_earnings,g,price_to_book,return_on_equity,book_to_market,price_to_cash_flow,dividend_yield,beta,price_to_sales,payout_ratio,dividend,earnings_per_share,price,firme,market_cap,revenue,shares_outstanding,employees,sector,indices
ABIO,29.13,0.0709,3.44,0.1261,13.24,134.25,0.0154,0.63,2.79,0.4303,0.7,1.56,43.8,Albioma SA (ABIO),1.41B,756.39M,30893808,579,Fournisseurs d'électricité,cac mid 60
ACCP,18.43,0.094,1.37,-0.272,18.04,24.49,0.0264,1.06,2.12,0.436,1.05,1.49,27.53,Accor SA (ACCP),7.57B,6.03B,270932350,196020,Hôtels et motels,cac 40
ADP,20.55,-0.3576,1.95,-0.0508,44.06,46.43,0.008199999999999999,1.14,2.31,0.436,0.7,-2.33,89.5,Aeroports de Paris SA (ADP),8.49B,5.87B,98944352,26122,Transports (divers),cac mid 60
AIR,24.75,0.1987,41.96,-1.0228,1.69,417.32,0.0209,1.74,0.95,0.436,1.53,-1.76,57.04,Airbus Group SE (AIR),46.4B,70.48B,782310505,135978,Aérospatiale et défense,cac 40
AIRF,4.29,0.0318,1.51,0.0642,-5.99,3.0,0.02645,0.99,0.08,0.436,1.43,-9.17,3.73,Air France - KLM SA (AIRF),1.56B,20.35B,427432464,83896,Compagnies aériennes,cac mid 60
AIRP,25.38,0.0791,3.63,0.12619999999999998,38.82,73.15,0.0191,0.79,3.14,0.5147999999999999,2.7,4.73,120.05,Air Liquide SA (AIRP),55.21B,32.77B,473105514,67200,Fabrication de produits chimiques,cac 40
AKA,5.04,0.0809,0.75,0.1985,21.87,3.21,0.0386,2.06,0.24,0.192,0.64,3.27,16.56,Akka Technologies (AKA),360.25M,1.51B,21833313,20930,Logiciels et programmation,cac mid 60
AKE,18.34,0.0238,1.33,0.0758,72.59,16.47,0.0228,1.38,0.9,0.4726,2.2,5.25,97.84,Arkema SA (AKE),7.36B,8.26B,76358572,20500,Fabrication de produits chimiques,cac next 20
ALDA,7.54,0.0146,0.93,0.12689999999999999,9.63,351.68,0.0703,1.03,0.37,0.5301,0.63,1.19,9.32,ALD SA (ALDA),3.61B,14.49B,403000753,6708,Location et leasing,cac mid 60
ALSO,22.94,0.2219,3.14,0.12119999999999999,14.48,25.55,0.0192,0.63,1.26,0.0,1.43,1.98,45.47,Alstom SA (ALSO),10.26B,8.2B,225973782,37575,Sociétés ferroviaires,cac next 20
AMUN,13.96,0.1211,1.34,0.1015,46.03,13.35,0.0446,1.41,2.71,0.6972,3.1,4.43,62.3,Amundi SA (AMUN),12.43B,5.88B,200939323,4506,Services d'investissement,cac mid 60
APAM,17.26,0.08869999999999999,0.95,0.051699999999999996,26.32,19.56,0.07,1.81,0.55,0.5118,1.75,1.45,25.38,Aperam SA (APAM),2B,6.11B,79815839,9500,Fer et acier,cac mid 60
ATOS,15.97,-0.0435,1.1,0.0805,65.55,8.94,0.0136,0.92,0.69,0.2711,1.4,3.83,61.2,Atos SE (ATOS),6.57B,17B,108632710,99906,Services informatiques,cac 40
AVMD,13.12,0.2804,1.51,0.1175,514.41,24.38,0.0209,1.05,0.93,0.4318,25.4,59.05,799.0,Dassault Aviation SA (AVMD),6.44B,10.02B,8315282,12757,Aérospatiale et défense,cac mid 60
AXAF,10.11,-0.1431,0.58,0.0405,29.4,9.88,0.0426,1.36,0.37,1.248,1.43,1.52,15.37,AXA SA (AXAF),36.15B,184.29B,2386592828,99843,Assurance (vie),cac 40
BICP,19.41,-0.1078,1.52,0.0745,30.84,36.73,0.052300000000000006,0.2,1.21,1.0151,2.45,2.41,47.82,Société BIC SA (BICP),2.11B,2.61B,44980244,12777,Fournitures de bureau,cac mid 60
BIOX,49.7,-0.1709,6.41,0.1378,19.97,161.0,0.0015,-0.09,5.27,0.1474,0.19,2.58,123.6,Biomerieux SA (BIOX),15.15B,4.15B,118345697,11795,Biotechnologie et médicaments,cac mid 60
BNPP,4.31,0.15439999999999998,0.4,0.0642,89.34,3.19,0.0486,1.63,1.01,0.0,3.1,6.21,26.75,BNP Paribas SA (BNPP),33.06B,69.57B,1248591040,198816,Banques (money center),cac 40
BOLL,35.48,0.0,1.1,0.029500000000000002,2.88,8.37,0.0189,0.75,0.38,0.4475,0.06,0.09,3.26,Bolloré SA (BOLL),9.32B,36.46B,2930886036,83801,Services aux entreprises,cac mid 60
BOUY,9.0,0.0204,1.19,0.07429999999999999,26.45,13.49,0.0539,0.87,0.34,0.4769,1.7,3.17,28.53,Bouygues SA (BOUY),11.03B,37.93B,379828120,133197,Services de construction,cac 40
BVI,55.5,0.006,7.99,0.1506,2.5,15.19,0.0236,1.01,1.87,1.5561,0.56,0.36,20.24,Bureau Veritas SA (BVI),8.98B,7.3B,448923687,78395,Services aux entreprises,cac next 20
CAGR,4.49,0.4997,0.38,0.06269999999999999,22.16,4.14,0.0593,1.69,0.4,0.0,0.7,1.49,6.7,Crédit Agricole SA (CAGR),19.18B,61.36B,2884253712,73037,Banques régionales,cac 40
CAPP,15.06,-0.045,3.41,0.1164,35.01,15.68,0.0113,1.1,1.38,0.3607,1.9,5.0,75.38,Capgemini SE (CAPP),12.82B,20.86B,169028781,219314,Logiciels et programmation,cac 40
CARR,550.11,-0.31,1.23,0.0482,11.49,8.15,0.0163,0.69,0.16,0.4338,0.46,0.03,14.66,Carrefour SA (CARR),11.7B,112.25B,797807965,321383,Détaillants (épicerie),cac 40
CASP,17.94,0.0493,0.62,-0.0877,34.77,256.03,0.1436,0.65,0.07,0.436,3.12,-3.96,22.5,Casino Guichard Perrachon SA (CASP),2.34B,50.7B,107750694,209696,Détaillants (épicerie),cac mid 60
CNAT,13.28,0.4997,0.36,0.027200000000000002,6.06,1.98,0.0593,1.22,0.4,0.0,1.43,0.16,2.18,Natixis (CNAT),6.79B,11.9B,3151102683,19639,Banques régionales,cac mid 60
